รหัสวิชา,ประเภท,รหัสตัวชี้วัด,คำอธิบาย/จุดประสงค์,ประเมิน
ว32103,พื้นฐาน,ว 3.2 ม.6/14,แปลความหมายสัญลักษณ์ลมฟ้าอากาศที่สำคัญจากแผนที่อากาศ และนำข้อมูลสารสนเทศต่าง ๆ มาวางแผนการดำเนินชีวิตให้สอดคล้องกับสภาพลมฟ้าอากาศ,ปลายทาง
ว30205 ,เพิ่มเติม,1,สังเกต และอธิบายเส้นสนามแม่เหล็ก อธิบายและคำนวณฟลักซ์แม่เหล็กในบริเวณที่กำหนด รวมทั้งสังเกตและอธิบายสนามแม่เหล็กที่เกิดจากกระแสไฟฟ้าในลวดตัวนำเส้นตรงและโซเลนอยด์ได้,
ว30205 ,เพิ่มเติม,2,อธิบาย และคำนวณแรงแม่เหล็กที่กระทำต่ออนุภาคที่มีประจุไฟฟ้าเคลื่อนที่ในสนามแม่เหล็ก แรงแม่เหล็กที่กระทำต่อเส้นลวดที่มีกระแสไฟฟ้าผ่านและวางในสนามแม่เหล็ก รัศมีความโค้งของการเคลื่อนที่เมื่อประจุเคลื่อนที่ตั้งฉากกับสนามแม่เหล็ก รวมทั้งอธิบายแรงระหว่างเส้นลวดตัวนำคู่ขนานที่มีกระแสไฟฟ้าผ่านได้,
ว30205 ,เพิ่มเติม,3,อธิบายหลักการทำงานของแกลแวนอมิเตอร์และมอเตอร์ไฟฟ้ากระแสตรง รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องได้,
ว30205 ,เพิ่มเติม,4,สังเกต และอธิบายการเกิดอีเอ็มเอฟเหนี่ยวนำ กฎการเหนี่ยวนำของฟาราเดย์ และคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง รวมทั้งนำความรู้เรื่องอีเอ็มเอฟเหนี่ยวนำไปอธิบายการทำงานของเครื่องใช้ไฟฟ้าได้,
ว30205 ,เพิ่มเติม,5,อธิบาย และคำนวณความต่างศักย์อาร์เอ็มเอส และกระแสไฟฟ้าอาร์เอ็มเอสได้,
ว30205 ,เพิ่มเติม,6,อธิบายหลักการทำงานและประโยชน์ของเครื่องกำเนิดไฟฟ้ากระแสสลับ 3 เฟส การแปลงอีเอ็มเอฟของหม้อแปลง และคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องได้,
ว30205 ,เพิ่มเติม,7,อธิบายและคำนวณความร้อนที่ทำให้สสารเปลี่ยนอุณหภูมิ ความร้อนที่ทำให้สสารเปลี่ยนสถานะ และความร้อนที่เกิดจากการถ่ายโอนตามกฎการอนุรักษ์พลังงาน,
ว30205 ,เพิ่มเติม,8,อธิบายกฎของแก๊สอุดมคติและคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30205 ,เพิ่มเติม,9,อธิบายแบบจำลองของแก๊สอุดมคติ ทฤษฎีจลน์ของแก๊ส และอัตราเร็วอาร์เอ็มเอสของโมเลกุลของแก๊ส รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30205 ,เพิ่มเติม,10,อธิบายและคำนวณงานที่ทำโดยแก๊สในภาชนะปิดโดยความดันคงตัว และอธิบายความสัมพันธ์ระหว่างความร้อน พลังงานภายในระบบ และงานรวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องและนำความรู้ เรื่อง พลังงานภายในระบบไปอธิบายหลักการทำงานของเครื่องใช้ในชีวิตประจำวัน,
ว30205 ,เพิ่มเติม,11,อธิบายสภาพยืดหยุ่นและลักษณะการยืดและหดตัวของวัสดุที่เป็นแท่ง เมื่อถูกกระทำด้วยแรงค่าต่าง ๆ รวมทั้งทดลอง อธิบาย และคำนวณความเค้นตามยาว ความเครียดตามยาวและมอดุลัสของยัง และนำความรู้เรื่องสภาพยืดหยุ่นไปใช้ในชีวิตประจำวัน,
ว30205 ,เพิ่มเติม,12,อธิบาย และคำนวณความดันเกจ ความดันสัมบูรณ์ และความดันบรรยากาศ รวมทั้งอธิบายหลักการทำงานของแมนอมิเตอร์ บารอมิเตอร์ และเครื่องอัดไฮดรอลิกได้,
ว30205 ,เพิ่มเติม,13,ทดลอง อธิบาย และคำนวณขนาดแรงพยุงจากของไหลได้,
ว30205 ,เพิ่มเติม,14,ทดลอง อธิบาย และคำนวณความตึงผิวของของเหลว รวมทั้งสังเกตและอธิบายแรงหนืดของของเหลวได้,
ว30205 ,เพิ่มเติม,15,อธิบายสมบัติของของไหลอุดมคติ สมการความต่อเนื่อง และสมการแบร์นูลลี รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง และนำความรู้เกี่ยวกับสมการความต่อเนื่องและสมการแบร์นูลลีไปอธิบายหลักการทำงานของอุปกรณ์ต่าง ๆ ได้,
ว30203,เพิ่มเติม,1,ทดลอง และอธิบายการเคลื่อนที่แบบฮาร์มอนิกอย่างง่ายของวัตถุติดปลายสปริงและลูกตุ้มอย่างง่าย รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องได้,
ว30203,เพิ่มเติม,2,อธิบายความถี่ธรรมชาติของวัตถุและการเกิดการสั่นพ้องได้,
ว30203,เพิ่มเติม,3,อธิบายปรากฏการณ์คลื่น ชนิดของคลื่น ส่วนประกอบของคลื่น การแผ่ของหน้าคลื่นด้วยหลักการของฮอยเกนส์ และการรวมกันของคลื่นตามหลักการซ้อนทับ พร้อมทั้งคำนวณ อัตราเร็ว ความถี่ และความยาวคลื่นได้,
ว30203,เพิ่มเติม,4,สังเกต และอธิบายการสะท้อน การหักเห การแทรกสอด และการเลี้ยวเบนของคลื่นผิวน้ำ รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องได้,
ว30203,เพิ่มเติม,5,อธิบายการเกิดเสียง การเคลื่อนที่ของเสียง ความสัมพันธ์ระหว่างคลื่น การกระจัดของ อนุภาคกับคลื่นความดัน ความสัมพันธ์ระหว่างอัตราเร็วของเสียงในอากาศที่ขึ้นกับอุณหภูมิในหน่วยองศาเซลเซียส สมบัติของคลื่นเสียง ได้แก่ การสะท้อน การหักเห การแทรกสอด และการเลี้ยวเบน รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องได้,
ว30203,เพิ่มเติม,6,อธิบายความเข้มเสียง ระดับเสียง องค์ประกอบของการได้ยิน คุณภาพเสียง และมลพิษทางเสียง รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องได้,
ว30203,เพิ่มเติม,7,ทดลอง และอธิบายการเกิดการสั่นพ้องของอากาศในท่อปลายเปิดหนึ่งด้าน รวมทั้งสังเกต และอธิบายการเกิดบีต คลื่นนิ่ง ปรากฏการณ์ดอปเพลอร์ คลื่นกระแทกของเสียง คำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง และนำความรู้เรื่องเสียงไปใช้ในชีวิตประจำวันได้,
ว30203,เพิ่มเติม,8,ทดลอง และอธิบายการสะท้อนของแสงที่ผิววัตถุตามกฎการสะท้อน เขียนรังสีของแสงและคำนวณตำแหน่งและขนาดภาพของวัตถุ เมื่อแสงตกกระทบกระจกเงาราบและกระจกเงาทรงกลม รวมทั้งอธิบายการนำความรู้เรื่องการสะท้อนของแสงจากกระจกเงาราบและกระจกเงาทรงกลมไปใช้ประโยชน์ในชีวิตประจำวันได้,
ว30203,เพิ่มเติม,9,ทดลอง และอธิบายความสัมพันธ์ระหว่างดรรชนีหักเห มุมตกกระทบ และมุมหักเห รวมทั้งอธิบายความสัมพันธ์ระหว่างความลึกจริง และความลึกปรากฏ มุมวิกฤตและการสะท้อนกลับหมดของแสง และคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องได้,
ว30203,เพิ่มเติม,10,ทดลอง และเขียนรังสีของแสงเพื่อแสดงภาพที่เกิดจากเลนส์บาง หาตำแหน่ง ขนาด ชนิดของภาพ และความสัมพันธ์ระหว่างระยะวัตถุ ระยะภาพ และความยาวโฟกัส รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง และอธิบายการนำความรู้เรื่องการหักเหของแสงผ่านเลนส์บางไปใช้ประโยชน์ในชีวิตประจำวันได้,
ว30203,เพิ่มเติม,11,อธิบายปรากฏการณ์ธรรมชาติที่เกี่ยวกับแสง เช่น รุ้ง การทรงกลด มิราจ การเห็นท้องฟ้าเป็นสีต่าง ๆ ในช่วงเวลาต่างกันได้,
ว30203,เพิ่มเติม,12,สังเกต และอธิบายการมองเห็นแสงสี สีของวัตถุ การผสมสารสี และการผสมแสงสี รวมทั้งอธิบายสาเหตุของการบอดสีได้,
ว32101,พื้นฐาน,ว 2.1 ม.5/1,ระบุว่าสารเป็นธาตุหรือสารประกอบ และอยู่ในรูปอะตอม โมเลกุล หรือไอออน จากสูตรเคมี,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/2,เปรียบเทียบความเหมือนและความแตกต่างของแบบจาลองอะตอมของโบร์กับแบบจาลองอะตอมแบบกลุ่มหมอก,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/3,ระบุจำนวนโปรตอน นิวตรอน และอิเล็กตรอนของอะตอมและไอออนที่เกิดจากอะตอมเดียว,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/4,เขียนสัญลักษณ์นิวเคลียร์ของธาตุและระบุการเป็นไอโซโทป,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/5,ระบุหมู๋และคาบของธาตุ และระบุว่าธาตุเป็นโลหะ อโลหะกึ่งโลหะ กลุ่มธาตุเรพรีเซนเททีฟ หรือกลุ่มธาตุแทรนซิชันจากตารางธาตุ,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/6,เปรียบเทียบสมบัติการนำไฟฟ้า การให้และรับอิเล็กตรอนระหว่างธาตุในกลุ่มโลหะกับอโลหะ,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/7,สืบค้นข้อมูลและนาเสนอตัวอย่างประโยชน์และอันตรายที่เกิดจากธาตุเรพรีเซนเททีฟและธาตุแทรนซิชัน,ปลายทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/8,ระบุว่าพันธะโคเวเลนต์เป็นพันธะเดี่ยว พันธะคู่ หรือพันธะสาม และระบุจำนวนคู่อิเล็กตรอนระหว่างอะตอมคู่ร่วมพันธะ จากสูตรโครงสร้าง,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/9,ระบุสภาพขั้วของสารที่โมเลกุลประกอบด้วย 2 อะตอม,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/10,ระบุสารที่เกิดพันธะไฮโดรเจนได้จากสูตรโครงสร้าง,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/11,อธิบายความสัมพันธ์ระหว่างจุดเดือดของสารโคเวเลนต์กับ แรงดึงดูดระหว่างโมเลกุลตามสภาพขั้วหรือการเกิดพันธะ ไฮโดรเจน,ปลายทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/12,เขียนสูตรเคมีของไอออนและสารประกอบไอออนิก,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/13,ระบุว่าสารเกิดการละลายแบบแตกตัวหรือไม่แตกตัว พร้อมให้เหตุผล และระบุว่าสารละลายที่ได้เป็นสารละลายอิเล็กโทรไลต์ หรือนอนอิเล็กโทรไลต์,ปลายทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/14,ระบุสารประกอบอินทรีย์ประเภทไฮโดรคาร์บอนว่าอิ่มตัว หรือไม่อิ่มตัวจากสูตรโครงสร้าง,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/15,สืบค้นข้อมูลและเปรียบเทียบสมบัติทางกายภาพระหว่างพอลิเมอร์และมอนอเมอร์ของพอลิเมอร์ ชนิดนั้น,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/16,ระบุสมบัติความเป็นกรด-เบสจากโครงสร้างของสารประกอบอินทรีย์,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/17,อธิบายสมบัติการละลายในตัวทำละลายชนิดต่างๆ ของสาร,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/18,วิเคราะห์และอธิบายความสัมพันธ์ระหว่างโครงสร้างกับสมบัติเทอร์มอพลาสติกและเทอร์มอเซตของพอลิเมอร์ และการนำพอลิเมอร์ไปใช้ประโยชน์,ระหว่างทาง
